ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
824794,3009,★,Jaguar,XL,90,2002204,34904,78096,x5,★★★★★,◆◆◆◆,491,491,0,0,0,1,0,,0,,50,,,Locked
856626,3008,★,Prowler,XL,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,50,,,Locked
879988,3007,★,Scout,XL,1,0,0,100,x5,★,◆◆◆◆,311,311,0,0,0,0,0,,0,,50,,,Locked
879992,3006,★,Dinergate,XL,1,0,0,100,x5,★,◆◆◆◆,159,159,0,0,0,0,0,,0,,50,,,Locked
892833,1008,★★★,Alchemist,,90,2035907,68607,44393,x1,★★★★★,,1025,1025,10,10,5,5,1003,Phantom Stance,3001,Weaken,55,,,Locked
927544,2004,★★,Nemeum,L,90,1972245,4945,108055,x5,★★★★★,◆◆◆◆,918,918,0,0,1,1,0,,0,,75,,,Locked
954611,2009,★★,Ripper SWAP,L,90,1971280,3980,109020,x5,★★★★★,◆◆◆◆,1037,1037,0,0,1,1,0,,0,,50,,,Locked
987572,2004,★★,Nemeum,L,90,1999699,32399,80601,x5,★★★★★,◆◆◆◆,918,918,0,0,1,1,0,,0,,51,,,Locked
1084627,2010,★★,Vespid_SWAP,L,1,0,0,100,x4,★★,◆◆◆,344,344,0,0,1,0,0,,0,,50,,,Locked
1097119,2001,★★,Brute,XL,1,0,0,100,x5,★★,◆◆◆◆,329,329,0,0,1,0,0,,0,,50,,,Locked
1168427,3010,★,Goliath Factory,S,1,0,0,100,x1,★,,625,625,0,0,0,0,0,,0,,50,,,
1189281,3010,★,Goliath Factory,XL,90,1968000,700,112300,x1,★★★★★,◆◆◆◆,1419,1419,0,0,0,2,0,,0,,51,,,Locked
1189284,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1223840,3010,★,Goliath Factory,L,1,0,0,100,x1,★,,633,633,0,0,0,0,0,,0,,50,,,
1223841,3010,★,Goliath Factory,L,1,0,0,100,x1,★,,633,633,0,0,0,0,0,,0,,50,,,
1283092,2009,★★,Ripper SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,499,499,0,0,1,0,0,,0,,50,,,Locked
1283105,2012,★★,Dragoon_SWAP,L,1,0,0,100,x1,★★,,119,119,0,0,1,0,0,,0,,50,,,Locked
1283112,2011,★★,Prowler_SWAP,M,1,0,0,100,x1,★★,,91,91,0,0,1,0,0,,0,,50,,,Locked
1283124,2011,★★,Prowler_SWAP,M,1,0,0,100,x1,★★,,91,91,0,0,1,0,0,,0,,50,,,
1283137,2012,★★,Dragoon_SWAP,S,1,0,0,100,x1,★★,,117,117,0,0,1,0,0,,0,,50,,,
1283144,2008,★★,Guard_SWAP,XL,1,0,0,100,x2,★★,◆,255,255,0,0,1,0,0,,0,,50,,,Locked
1283149,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
1283151,2012,★★,Dragoon_SWAP,M,1,0,0,100,x1,★★,,118,118,0,0,1,0,0,,0,,50,,,
1283160,1010,★★★,Gager,,90,1968000,700,112300,x1,★★★★,,1080,1080,1,1,1,1,0,,0,,50,,,Locked
1308971,1011,★★★,Judge,,90,1968000,700,112300,x1,★★★,,1091,1091,1,1,1,0,0,,0,,50,,,Locked
1321003,3010,★,Goliath Factory,L,1,0,0,100,x1,★,,633,633,0,0,0,0,0,,0,,50,,,
1321005,3010,★,Goliath Factory,L,1,0,0,100,x1,★,,633,633,0,0,0,0,0,,0,,50,,,
1321007,3009,★,Jaguar,L,1,0,0,100,x1,★,,48,48,0,0,0,0,0,,0,,50,,,
1334339,3009,★,Jaguar,L,1,0,0,100,x1,★,,48,48,0,0,0,0,0,,0,,50,,,
1345183,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
1350382,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1357185,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1380643,2011,★★,Prowler_SWAP,M,1,0,0,100,x1,★★,,91,91,0,0,1,0,0,,0,,50,,,
1394742,2010,★★,Vespid_SWAP,M,1,0,0,100,x1,★★,,86,86,0,0,1,0,0,,0,,50,,,
1412509,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1412519,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1445147,2006,★★,Manticore,L,1,0,0,100,x1,★★,,517,517,0,0,1,0,0,,0,,50,,,
1445150,2014,★★,Aegis_SWAP,M,1,0,0,100,x1,★★,,157,157,0,0,1,0,0,,0,,50,,,Locked
1445153,3010,★,Goliath Factory,L,1,0,0,100,x1,★,,633,633,0,0,0,0,0,,0,,50,,,
1462189,2013,★★,Striker_SWAP,M,1,0,0,100,x1,★★,,86,86,0,0,1,0,0,,0,,50,,,Locked
1462190,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1471893,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
1520415,1012,★★★,Agent,,90,1968000,700,112300,x1,★★★★★,,1254,1254,5,1,1,1,0,,0,,50,,,Locked
1548095,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
1548097,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
1570979,3009,★,Jaguar,L,1,0,0,100,x1,★,,48,48,0,0,0,0,0,,0,,50,,,
1590638,3006,★,Dinergate,S,1,0,0,100,x1,★,,32,32,0,0,0,0,0,,0,,50,,,
1603078,3006,★,Dinergate,M,1,0,0,100,x1,★,,32,32,0,0,0,0,0,,0,,50,,,
1603080,3003,★,Guard,M,1,0,0,100,x1,★,,110,110,0,0,0,0,0,,0,,50,,,
1603082,3005,★,Striker,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
1603083,3004,★,Jaeger,XL,1,0,0,100,x3,★,◆◆,161,161,0,0,0,0,0,,0,,50,,,
1603084,3008,★,Prowler,S,1,0,0,100,x1,★,,74,74,0,0,0,0,0,,0,,50,,,
1603085,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1615111,3005,★,Striker,L,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
1615112,3002,★,Vespid,M,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,
1615115,3001,★,Ripper,L,1,0,0,100,x1,★,,82,82,0,0,0,0,0,,0,,50,,,
1615116,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
1638630,2013,★★,Striker_SWAP,M,1,0,0,100,x1,★★,,86,86,0,0,1,0,0,,0,,50,,,
1638631,3002,★,Vespid,M,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,
1638632,2004,★★,Nemeum,M,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,
1638633,3007,★,Scout,M,1,0,0,100,x1,★,,62,62,0,0,0,0,0,,0,,50,,,
1638634,3001,★,Ripper,S,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,
1638635,2012,★★,Dragoon_SWAP,M,1,0,0,100,x1,★★,,118,118,0,0,1,0,0,,0,,50,,,
1651873,3002,★,Vespid,XS,1,0,0,100,x1,★,,74,74,0,0,0,0,0,,0,,50,,,
1651875,3006,★,Dinergate,M,1,0,0,100,x1,★,,32,32,0,0,0,0,0,,0,,50,,,
1651876,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
1666508,3006,★,Dinergate,XS,1,0,0,100,x1,★,,31,31,0,0,0,0,0,,0,,50,,,Locked
1666509,3005,★,Striker,XS,1,0,0,100,x1,★,,64,64,0,0,0,0,0,,0,,50,,,
1666510,3008,★,Prowler,L,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,
1666518,3007,★,Scout,M,1,0,0,100,x1,★,,62,62,0,0,0,0,0,,0,,50,,,
