ID,No.,Type,Star,Name,Doll ID,Doll,Damage,Accuracy,Evasion,Move Speed,Rate of Fire,Crit.Rate,Crit.Damage,Armor Pen.,Armor,Shield,Damage Amplify,Damage Reduction,Night View,Rounds,Equip Exp,Equip Level,EQUIP_INFO_ADJUST_MAX,Adjust Count,Locked
11816822,44,Plate (Body),★★★★★,Type 3 Armor Plate,-,-,-,-,-2,-,-,-,-,-,11,-,-,-,-,-,10000,10,MAX,6,Locked
12008882,72,HP (Ammo),★★★★★,ILM Hollow-Point Ammo,-,-,15,-,-,-,-,-,-,-7,-,-,-,-,-,-,10000,10,MAX,6,Locked
12107851,49,PEQ (Acc),★★★★★,16Lab Infrared Designator,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0000%,-,0,0,MAX,0,Locked
12113538,50,AP (Ammo),★★★★★,16Lab Sub-Caliber Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180.0000,-,-,-,-,-,-,10000,10,MAX,0,Locked
12210208,32,HV (Ammo),★★★★★,APCR High-Velocity Ammo,135127665,Angelica,18.8191,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,,0,Locked
12523085,60,Sp. Eq (Exclusive),★★★★★,.300BLK High-Velocity Ammo,46820867,ST AR-15 Mod,35,-,-,-,-10,-,-,-,-,-,-,-,-,-,30000,10,MAX,18,Locked
12529820,59,Sp. Eq (Exclusive),★★★★★,National Match-Grade Armor-Piercing Ammo,45637303,Springfield,-,-,-,-,10,-,-,195,-,-,-,-,-,-,30000,10,MAX,46,Locked
12670563,4,Optical (Acc),★★★★★,VFL 6-24X56,48444831,9A-91,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,8,Locked
12678943,4,Optical (Acc),★★★★★,VFL 6-24X56,81725020,AUG,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,6,Locked
12839516,95,HP (Ammo),★★★★★,16Lab Hollow-Point,-,-,15.0000,-,-,-,-,-,-,-7.0000,-,-,-,-,-,-,10000,10,MAX,0,Locked
12933789,4,Optical (Acc),★★★★★,VFL 6-24X56,47598357,416 Mod,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,11,Locked
13229579,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,30,-,-,-1,-,-,-,-,-,-,-,-,-,10000,10,MAX,6,Locked
13265038,4,Optical (Acc),★★★★★,VFL 6-24X56,52663973,MDR,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,8,Locked
13332465,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,2,Locked
13388526,137,Sp. Eq (Exclusive),★★★★★,Adelhyde,69219507,Jill Stingray,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13388527,138,Sp. Eq (Exclusive),★★★★★,Flanergide,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13388528,139,Sp. Eq (Exclusive),★★★★★,Adelhyde,69219507,Jill Stingray,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13388529,140,Sp. Eq (Exclusive),★★★★★,Bronson Extract,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13388530,141,Sp. Eq (Exclusive),★★★★★,Powdered Delta,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13388531,142,Sp. Eq (Exclusive),★★★★★,Karmotrine,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13388532,143,Sp. Eq (Exclusive),★★★★★,Karmotrine,-,-,-,-,15.000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13388533,144,Sp. Eq (Exclusive),★★★★★,Karmotrine,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,Locked
13436026,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,14.1420,-,-,-3.5146,-,-,-,-,-,-,-,-,-,0,0,,0,Locked
13477393,40,T Exo (Body),★★★★★,IOP T4 Exoskeleton,-,-,-7.412,-,33.0043,-,-,-,-,-,-,-,-,-,-,-,10000,10,,0,Locked
13591075,8,EOT (Holographic),★★★★★,EOT 518,-,-,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10000,10,MAX,7,Locked
13637482,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,15,-,-,-1,-,-,-,-,-,-,-,-,-,0,0,MAX,6,Locked
13697899,149,Sp. Eq (Exclusive),★★★★★,Cybernetic Hands,-,-,4,-,-2,-,-,-,-,-,-,-,-,-,-,4,0,0,MAX,6,Locked
13739412,146,Sp. Eq (Exclusive),★★★★★,MIRD Class-5 Rounds,68928213,Dorothy Haze,22,-,-,-,-,-,-,-7,-,-,-,-,-,-,30050,10,MAX,26,Locked
13766888,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,12,Locked
13854018,148,Sp. Eq (Exclusive),★★★★★,Prosthetic Eye,-,-,-,-,-,-3.0000,2,-,20%,-,-,-,-,-,-,-,500,0,MAX,16,Locked
13877709,145,Sp. Eq (Exclusive),★★★★★,Prosthetic Arm,68601735,Dana Zane,4,-,-2,-,-,-,-,-,8,-,-,-,-,-,0,0,MAX,6,Locked
13955871,147,Sp. Eq (Exclusive),★★★★★,White Knight's Armor,70382732,Sei Asagiri,-,-,20,-,-,-,-,-,-,-,-,-,-,-,150,0,MAX,18,Locked
14061797,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,12,Locked
14196716,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,1,Locked
14196717,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,6,Locked
14196819,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-,5,10000,10,MAX,6,Locked
14262239,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,46.0008%,-,-,-,-,-,-,-,-,10000,10,,12,Locked
14344029,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-,5,10000,10,MAX,6,Locked
14467816,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,6.7148,-,-,14.9137%,-,-,-,-,-,-,-,-,1200,3,,0,Locked
14523186,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,9.061,-,-,17.1292%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
14611457,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,6,Locked
14702144,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.0,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,4,Locked
15176536,72,HP (Ammo),★★★★★,ILM Hollow-Point Ammo,-,-,15,-,-,-,-,-,-,-7,-,-,-,-,-,-,10000,10,MAX,9,Locked
15241750,32,HV (Ammo),★★★★★,APCR High-Velocity Ammo,174331132,SIG MCX,15.0636,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,,0,Locked
15974461,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,8.2933,-,-,17.1788%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
16073112,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,15,-,-,-1,-,-,-,-,-,-,-,-,-,0,0,MAX,6,Locked
16139100,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,44.5728%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
16211647,161,Sp. Eq (Exclusive),★★★★★,Advanced Infantry Sight,50479709,Type97,3,-,-,-,-,28%,-,-,-,-,-,-,-,-,1526,2,MAX,4,Locked
16231836,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,MAX,9,Locked
16474552,110,HV (Ammo),★★★★★,16Lab High-Velocity Ammo,95370701,AK-12,20.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,0,Locked
16527098,95,HP (Ammo),★★★★★,16Lab Hollow-Point,-,-,15.0000,-,-,-,-,-,-,-7.0000,-,-,-,-,-,-,10000,10,MAX,0,Locked
16882971,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,8,Locked
16994015,99,Sp. Eq (Exclusive),★★★★★,Inherited Case,46113001,M4A1 Mod,20,-,-,-,20,-,-,-,15,-,-,-,-,-,30001,10,MAX,6,Locked
17012337,100,Sp. Eq (Exclusive),★★★★★,Lightweight Rail Kit,46820867,ST AR-15 Mod,15,10,-,-,-,-,30%,-,-,-,-,-,-,-,30000,10,MAX,16,Locked
17100682,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-,5,10000,10,MAX,6,Locked
17386260,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-,5,10000,10,MAX,3,Locked
17460221,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,43.478%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
17489875,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,8.7136,-,-,17.6856%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
17562851,80,Slug (Shell),★★★★★,SABOT Slug,-,-,-,9.2416,-,-,-,-,-,-,-,-,-,-,-,-,1,0,,0,Locked
17617724,76,Buck (Shell),★★★★★,#000 Buckshot,-,-,12.925,-,-,-,-,-,18.4377%,-,-,-,-,-,-,-,10000,10,,0,Locked
17830447,58,X Exo (Body),★★★★★,IOP X4 Exoskeleton,174331132,SIG MCX,-,-,20,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,2,Locked
17844683,129,Sp. Eq (Exclusive),★★★★★,M2 Bipod,45602857,M14 Mod,-,10,-,-,-,48%,-,-,-,-,-,-,-,-,30000,10,MAX,16,Locked
18149845,16,PEQ (Acc),★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,1,0,MAX,3,Locked
18195895,169,Sp. Eq (Exclusive),★★★★★,Am RFB Quad Rail,-,-,-,-,-,-,-,24%,10%,-,-,-,-,-,-,-,1,0,MAX,16,Locked
18195995,155,Sp. Eq (Exclusive),★★★★★,PPK Suppressor,45542956,PPK,-,-,18,-,-,30%,-,-,-,-,-,-,-,-,30000,10,MAX,6,Locked
18246570,16,PEQ (Acc),★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.2759%,-,0,0,,0,Locked
18292155,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,MAX,9,Locked
18292243,16,PEQ (Acc),★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,11,Locked
18385902,130,Sp. Eq (Exclusive),★★★★★,Gr G36 Hybrid Sight,46958149,Gr G36 Mod,-,8,-,-,-,48%,-,-,-,-,-,-,-,-,30000,10,MAX,6,Locked
18424044,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,MAX,11,Locked
18549407,168,Sp. Eq (Exclusive),★★★★★,Folding Stock,-,-,-,-,13.0002,-,-,15%,-,-,-,-,-,-,-,-,1,0,,6,Locked
18585120,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,7.1422,-,-,17.276%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
18622025,76,Buck (Shell),★★★★★,#000 Buckshot,-,-,15,-,-,-,-,-,22%,-,-,-,-,-,-,-,10000,10,MAX,16,Locked
18657045,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,3,Locked
18793344,58,X Exo (Body),★★★★★,IOP X4 Exoskeleton,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,5,Locked
18811510,4,Optical (Acc),★★★★★,VFL 6-24X56,174331132,SIG MCX,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,10,Locked
18824846,32,HV (Ammo),★★★★★,APCR High-Velocity Ammo,47846207,Gr G41,20,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,5,Locked
18901928,44,Plate (Body),★★★★★,Type 3 Armor Plate,-,-,-,-,-3,-,-,-,-,-,11,-,-,-,-,-,10000,10,,3,Locked
19174818,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,44.0002%,-,-,-,-,-,-,-,-,10000,10,,6,Locked
19302633,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,MAX,17,Locked
19459186,76,Buck (Shell),★★★★★,#000 Buckshot,-,-,10,-,-,-,-,-,15%,-,-,-,-,-,-,-,1,0,MAX,16,Locked
19569412,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,4,Locked
19866905,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,8.4373,-,-,16.8044%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
19978598,44,Plate (Body),★★★★★,Type 3 Armor Plate,91837686,SPAS-12,-,-,-2,-,-,-,-,-,11,-,-,-,-,-,10000,10,MAX,6,Locked
20051863,126,Sp. Eq (Exclusive),★★★★★,Dinergate RO,46383815,M4 SOPMOD II Mod,35,14,-,-,-2,-,-,-,-,-,-,-,-,-,30000,10,MAX,16,Locked
20053495,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,8.3458,-,-,17.9744%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
20062679,170,Sp. Eq (Exclusive),★★★★★,20mm HEI,45619763,NTW-20 Mod,10,-,-,-,-,-,-,180,-,-,-,-,-,-,30000,10,MAX,16,Locked
20157851,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,124893352,Lewis,-,-,-2,-,-,-,-,-,-,-,-,-,-,5,10000,10,MAX,2,Locked
20347419,101,Sp. Eq (Exclusive),★★★★★,XM261 ACP,95061018,M1911 Mod,17,-,-,-,-,-,-,-7,-,-,-,-,-,-,30000,10,MAX,16,Locked
20579249,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,40.8964%,-,-,-,-,-,-,-,-,10000,10,,2,Locked
20707443,44,Plate (Body),★★★★★,Type 3 Armor Plate,-,-,-,-,-3,-,-,-,-,-,11,-,-,-,-,-,10000,10,,7,Locked
20943133,127,Sp. Eq (Exclusive),★★★★★,Hi-Performance Tactical Hair Accessory,47846207,Gr G41,25.000,10.000,20.0000,-,-,-,-,-,-,-,-,-,-,-,30000,10,MAX,0,Locked
21005887,175,Sp. Eq (Exclusive),★★★★★,BPR4 & SRM6,-,-,3,-,8,-,-,24%,-,-,-,-,-,-,-,-,1,0,MAX,15,Locked
21013388,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,3,Locked
21043793,40,T Exo (Body),★★★★★,IOP T4 Exoskeleton,-,-,-7.0,-,30.8,-,-,-,-,-,-,-,-,-,-,-,10000,10,,2,Locked
21093727,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,56189264,PK,-,-,-2,-,-,-,-,-,-,-,-,-,-,5,10000,10,MAX,6,Locked
21139341,125,Sp. Eq (Exclusive),★★★★★,Additional Computing Module,57409939,UMP45 Mod,-,-,15,-,-,25%,-,-,-,-,-,-,-,-,30000,10,MAX,16,Locked
21692610,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,MAX,10,Locked
21911012,76,Buck (Shell),★★★★★,#000 Buckshot,-,-,7.9318,-,-,-,-,-,10.4245%,-,-,-,-,-,-,-,200,1,,0,Locked
21915329,117,Sp. Eq (Exclusive),★★★★★,Glorylight,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0000%,-,1,0,MAX,0,Locked
21953709,72,HP (Ammo),★★★★★,ILM Hollow-Point Ammo,-,-,15,-,-,-,-,-,-,-7,-,-,-,-,-,-,10000,10,MAX,6,Locked
22331651,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,8.2489,-,-,16.4868%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
22481095,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,11.96,-,-,-2.4517,-,-,-,-,-,-,-,-,-,0,0,,0,Locked
22658918,118,Sp. Eq (Exclusive),★★★★★,Black Cat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0000%,-,1,0,MAX,0,Locked
22789581,40,T Exo (Body),★★★★★,IOP T4 Exoskeleton,88657966,AN-94 Mod,-6,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,11,Locked
23102013,32,HV (Ammo),★★★★★,APCR High-Velocity Ammo,81725020,AUG,16.1661,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,,0,Locked
23147115,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-,5,10000,10,MAX,6,Locked
23169136,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,7.5505,-,-,16.4252%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
23169137,80,Slug (Shell),★★★★★,SABOT Slug,-,-,-,9.772,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,Locked
23520177,16,PEQ (Acc),★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,9,Locked
23722168,40,T Exo (Body),★★★★★,IOP T4 Exoskeleton,46958149,Gr G36 Mod,-6,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,6,Locked
23745184,44,Plate (Body),★★★★★,Type 3 Armor Plate,-,-,-,-,-3,-,-,-,-,-,11,-,-,-,-,-,10000,10,,2,Locked
23920780,172,Sp. Eq (Exclusive),★★★★★,ART2,93757644,M21,5,-,-,-,-,24%,-,-,-,-,-,-,-,-,351,0,MAX,16,Locked
24451838,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,5,Locked
24629996,122,Sp. Eq (Exclusive),★★★★★,SAA Long Barrel,47806914,SAA Mod,3,-,10,-,-,20%,-,-,-,-,-,-,-,-,30000,10,MAX,12,Locked
24672823,4,Optical (Acc),★★★★★,VFL 6-24X56,47846207,Gr G41,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,19,Locked
24682413,4,Optical (Acc),★★★★★,VFL 6-24X56,95370701,AK-12,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,8,Locked
24820064,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,3,Locked
24841821,4,Optical (Acc),★★★★★,VFL 6-24X56,46580766,AS Val Mod,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,8,Locked
24849205,132,Sp. Eq (Exclusive),★★★★★,Gr MG4 MGO,82754890,Gr MG4 Mod,-,36.0000,-,-,-1.0000,35.0000%,-,-,-,-,-,-,-,-,30000,10,MAX,0,Locked
24881556,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,35.8564%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
24883522,161,Sp. Eq (Exclusive),★★★★★,Advanced Infantry Sight,52170066,Type95,3,-,-,-,-,24%,-,-,-,-,-,-,-,-,1,0,MAX,13,Locked
25165614,182,Sp. Eq (Exclusive),★★★★★,S&B762,63405170,Type79,15,-,-,-,-4.0000,-,-,-,-,-,-,-,-,-,1,0,MAX,5,Locked
25468303,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,38.0012%,-,-,-,-,-,-,-,-,10000,10,,5,Locked
25469399,76,Buck (Shell),★★★★★,#000 Buckshot,-,-,8.1424,-,-,-,-,-,11.5290%,-,-,-,-,-,-,-,300,1,,0,Locked
25660839,76,Buck (Shell),★★★★★,#000 Buckshot,-,-,14.7130,-,-,-,-,-,16.6079%,-,-,-,-,-,-,-,10000,10,,0,Locked
25957560,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,170.8710,-,-,-,-,-,-,10000,10,,0,Locked
25957561,4,Optical (Acc),★★★★★,VFL 6-24X56,88657966,AN-94 Mod,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,1,Locked
25969616,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,MAX,9,Locked
25969617,32,HV (Ammo),★★★★★,APCR High-Velocity Ammo,88657966,AN-94 Mod,18.0218,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,,0,Locked
26004688,80,Slug (Shell),★★★★★,SABOT Slug,-,-,-,10.1776,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,Locked
26007702,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,MAX,16,Locked
26021447,179,Sp. Eq (Exclusive),★★★★★,WML & Tactical Handguard,64452870,M950A Mod,-,-,20,-,-,20%,-,-,-,-,-,-,-,-,30000,10,MAX,16,Locked
26515825,32,HV (Ammo),★★★★★,APCR High-Velocity Ammo,-,-,14.8788,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,,0,Locked
26564052,4,Optical (Acc),★★★★★,VFL 6-24X56,-,-,-,-,-,-,-,44.0002%,-,-,-,-,-,-,-,-,10000,10,,5,Locked
26585743,40,T Exo (Body),★★★★★,IOP T4 Exoskeleton,81725020,AUG,-6,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,14,Locked
